DELAY	TYPE	R1	T1	R2	T2
0	4	11.4	39	9.7	39
3	2	8	215	8	223
3	0	9.7	136	-1	-1
3	2	8	42	8	54
0	4	11.4	218	9.7	218
3	3	9.7	220	11.4	220
0	4	11.4	302	9.7	302
3	1	8	219	8	207
3	1	11.4	46	11.4	38
3	1	11.4	237	11.4	225
0	2	8	139	8	151
3	2	11.4	59	11.4	75
0	1	11.4	324	11.4	316
0	1	8	51	8	35
0	1	11.4	210	11.4	202
3	2	8	125	8	137
0	2	8	313	8	321
0	2	11.4	139	11.4	151
3	4	11.4	219	9.7	219
3	1	8	218	8	202
3	0	11.4	124	-1	-1
3	1	8	43	8	35
0	3	9.7	223	11.4	223
3	0	11.4	310	-1	-1
0	4	9.7	36	8	36
0	1	8	302	8	286
3	2	11.4	329	11.4	341
0	0	11.4	225	-1	-1
0	0	8	231	-1	-1
0	4	9.7	224	8	224
0	1	11.4	328	11.4	316
0	3	8	232	9.7	232
3	1	11.4	300	11.4	284
3	0	11.4	239	-1	-1
3	1	11.4	134	11.4	126
3	3	8	47	11.4	47
0	4	11.4	35	8	35
3	3	8	53	9.7	53
0	2	11.4	232	11.4	244
0	0	9.7	133	-1	-1
