DELAY	TYPE	R1	T1	R2	T2
3	3	8	128	11.4	128
3	0	9.7	220	-1	-1
0	4	9.7	146	8	146
3	3	8	306	9.7	306
3	0	8	221	-1	-1
3	0	8	40	-1	-1
0	2	8	222	8	230
0	0	11.4	57	-1	-1
0	1	11.4	141	11.4	133
0	4	11.4	212	8	212
3	1	8	36	8	20
0	3	8	149	11.4	149
3	4	9.7	42	8	42
0	4	9.7	313	8	313
3	4	11.4	38	8	38
3	2	8	314	8	326
0	4	11.4	321	8	321
0	0	11.4	128	-1	-1
3	0	9.7	46	-1	-1
3	2	8	307	8	315
0	4	11.4	126	8	126
0	0	8	300	-1	-1
3	4	11.4	135	9.7	135
0	0	11.4	328	-1	-1
0	0	9.7	30	-1	-1
3	2	11.4	57	11.4	69
0	2	11.4	126	11.4	142
0	1	11.4	216	11.4	200
3	4	11.4	315	9.7	315
3	1	8	316	8	300
3	2	11.4	217	11.4	233
0	3	9.7	30	11.4	30
0	3	8	211	11.4	211
3	4	11.4	134	8	134
3	4	11.4	31	9.7	31
0	2	8	325	8	337
0	2	11.4	30	11.4	42
0	0	9.7	212	-1	-1
3	2	11.4	145	11.4	157
3	0	8	134	-1	-1
