DELAY	TYPE	R1	T1	R2	T2
0	1	8	314	8	298
3	0	11.4	313	-1	-1
0	3	9.7	326	11.4	326
0	2	11.4	214	11.4	222
3	3	8	36	9.7	36
3	1	11.4	124	11.4	108
0	4	11.4	238	8	238
0	2	8	228	8	244
3	2	11.4	228	11.4	236
0	2	8	37	8	45
3	0	8	54	-1	-1
3	2	11.4	302	11.4	314
0	1	11.4	59	11.4	43
3	3	8	210	9.7	210
0	0	9.7	234	-1	-1
0	3	9.7	225	11.4	225
0	2	8	313	8	325
0	3	8	227	11.4	227
3	0	11.4	54	-1	-1
3	4	9.7	121	8	121
3	3	9.7	148	11.4	148
3	3	8	121	11.4	121
3	1	8	239	8	227
3	0	8	137	-1	-1
3	0	8	317	-1	-1
0	3	8	327	11.4	327
0	3	9.7	144	11.4	144
3	0	8	225	-1	-1
0	1	11.4	326	11.4	314
0	4	11.4	47	8	47
0	2	11.4	47	11.4	59
0	0	11.4	302	-1	-1
0	4	11.4	130	9.7	130
0	0	11.4	124	-1	-1
0	4	11.4	124	8	124
0	1	8	121	8	105
3	4	11.4	144	9.7	144
0	1	11.4	217	11.4	205
3	0	11.4	145	-1	-1
0	0	8	220	-1	-1
